Region,Aroma,Flavor,Quality
1,3.3,3.1,9.8
1,4.4,3.5,12.6
1,3.9,4.8,11.9
1,3.9,3.1,11.1
1,5.6,5.5,13.3
1,4.6,5,12.8
1,4.8,4.8,12.8
1,5.3,4.3,12
3,4.3,3.9,13.6
1,4.3,4.7,13.9
3,5.1,4.5,14.4
2,3.3,4.3,12.3
3,5.9,7,16.1
3,7.7,6.7,16.1
3,7.1,5.8,15.5
3,5.5,5.6,15.5
3,6.3,4.8,13.8
3,5,5.5,13.8
1,4.6,4.3,11.3
2,3.4,3.4,7.9
3,6.4,6.6,15.1
3,5.5,5.3,13.5
2,4.7,5,10.8
2,4.1,4.1,9.5
3,6,5.7,12.7
2,4.3,4.7,11.6
1,3.9,5.1,11.7
2,5.1,5,11.9
2,3.9,5,10.8
2,4.5,2.9,8.5
2,5.2,5,10.7
1,4.2,3,9.1
1,3.3,4.3,12.1
3,6.8,6,14.9
1,5,5.5,13.5
1,3.5,4.2,12.2
1,4.3,3.5,10.3
1,5.2,5.7,13.2
